family_id,choice_0,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,n_people
0,9,2,6,1,8,3,10,5,4,7,4
1,1,6,10,2,9,3,4,5,8,7,3
2,7,3,9,8,10,6,2,4,1,5,4
3,2,6,5,9,1,8,7,4,3,10,8
4,10,3,8,6,1,4,2,7,9,5,3
5,10,8,1,3,6,7,4,2,5,9,8
6,9,10,6,5,7,8,2,4,1,3,3
7,1,3,8,10,9,2,7,5,6,4,7
8,3,9,5,2,1,10,7,6,8,4,6
9,7,3,6,9,4,1,10,8,5,2,6
10,2,6,3,5,4,8,10,7,9,1,4
11,5,4,2,6,7,10,9,3,8,1,3
12,6,5,3,10,8,2,4,1,7,9,7
13,2,7,1,9,10,6,4,3,5,8,6
14,7,4,8,9,10,6,2,5,1,3,3
15,9,5,2,6,4,1,8,7,3,10,8
16,1,8,9,2,6,3,10,5,4,7,6
17,1,3,2,10,8,7,4,6,5,9,4
18,2,3,8,5,9,6,1,4,7,10,7
19,8,10,2,7,6,3,1,5,4,9,2
20,9,2,5,4,1,6,10,7,8,3,2
21,7,5,8,1,3,2,6,9,4,10,2
22,8,3,10,7,5,6,4,9,2,1,4
23,1,7,9,3,8,6,10,4,5,2,4
24,3,10,9,7,2,4,5,8,6,1,8
25,10,2,8,7,5,6,3,4,9,1,4
26,8,2,5,1,6,4,9,7,3,10,8
27,7,6,10,5,9,4,3,1,8,2,8
28,9,6,5,8,1,2,4,7,3,10,2
29,9,2,4,7,6,1,3,8,10,5,4
30,9,5,2,7,3,10,1,6,8,4,5
31,7,8,6,4,2,5,1,10,9,3,3
32,9,2,7,10,4,1,5,8,3,6,6
33,6,2,5,10,1,3,7,9,8,4,5
34,1,4,2,10,5,8,9,7,6,3,4
35,3,10,8,9,7,4,1,6,5,2,4
36,9,6,2,5,10,7,1,8,3,4,7
37,2,8,9,7,10,1,4,3,6,5,7
38,2,6,9,7,10,8,1,4,3,5,4
39,1,4,5,3,8,6,7,10,9,2,3
40,10,1,4,5,8,3,9,2,7,6,2
41,4,1,10,3,2,5,7,8,6,9,3
42,3,6,10,7,1,2,4,5,8,9,2
43,6,1,9,5,2,4,10,7,3,8,7
44,1,10,4,8,5,6,7,2,9,3,7
45,8,5,10,9,3,7,6,2,4,1,6
46,9,1,3,2,8,10,6,4,7,5,8
47,3,1,7,6,9,2,5,10,4,8,2
48,9,10,1,6,5,7,2,4,3,8,8
49,10,4,6,3,8,7,2,1,5,9,7
